fixed,en_professional,en_student,characteristic_1,characteristic_2,characteristic_3,characteristic_4,characteristic_5,
Fixed,I have the patience to repeat things several times if necessary until the other person understands.,I have the patience to repeat things several times if necessary until the other person understands.,Educative Nature - 56dfcf85ef8cc338730548f5,,,,,
Fixed,"If there were a free distribution of food, and they were looking for volunteers to help, I would give a helping hand without hesitation.","If there were a free distribution of food, and they were looking for volunteers to help, I would give a helping hand without hesitation.",Providing Nature - 56dfcf85ef8cc338730548fa,,,,,
Fixed,"If I had to take out a new insurance contract for a car or motorcycle, I could easily negotiate prices for the best rate.","On vacation, if I have the opportunity to go to a market where prices are not fixed, I enjoy negotiating to get the lowest prices possible.",Entrepreneurial Nature - 56dfcf85ef8cc338730548fb,,,,,
Fixed,"Whenever I buy something, I make sure to buy a product that is the most useful for the price I pay.","Whenever I buy something, I make sure to buy a product that is the most useful for the price I pay.",Entrepreneurial Nature - 56dfcf85ef8cc338730548fb,,,,,
Fixed,"When I'm at a party, I prefer to meet lots of people rather than spending time only with a few people.","When I'm at a party, I prefer to meet lots of people rather than spending time only with a few people.",Interpersonal Intelligence - 56dfcf85ef8cc338730548ed,,,,,
Fixed,I like what I do to be the center of attention.,I like what I do to be the center of attention.,Entertaining Nature - 56dfcf85ef8cc338730548f9,,,,,
Fixed,"When I visit someone's home, I observe the color of the walls, furniture, curtains, etc., and am able to see how well they match or not.","When I visit someone's home, I observe the color of the walls, furniture, curtains, etc., and am able to see how well they match or not.",Visual Graphic Intelligence - 56dfcf85ef8cc338730548f1,,,,,
Fixed,I find it easy to pack a backpack or suitcase and optimize space to fit many things in it.,I find it easy to pack a backpack or suitcase and optimize space to fit many things in it.,Visual Spatial Intelligence - 56dfcf85ef8cc338730548fd,,,,,
Fixed,"I often find myself thinking up imaginative ideas that could be turned into stories, books, films, gadgets, and other such creations.","I often find myself thinking up imaginative ideas that could be turned into stories, books, films, gadgets, and other such creations.",Creative Nature - 56dfcf85ef8cc338730548f8,,,,,
Fixed,"Before making a decision, I tend to gather information and analyze it carefully.","Before making a decision, I tend to gather information and analyze it carefully.",Logical Intelligence - 56dfcf85ef8cc338730548ee,,,,,
Fixed,"When I walk in the street, I am attentive to the different elements of nature.","When I walk in the street, I am attentive to the different elements of nature.",Naturalistic Intelligence - 56dfcf85ef8cc338730548f3,,,,,
Fixed,"I find it easy to do math sums quickly, easily, and accurately in my head.","I find it easy to do math sums quickly, easily, and accurately in my head.",Logical Intelligence - 56dfcf85ef8cc338730548ee,,,,,
Fixed,I am excellent at giving and following step-by-step directions.,I am excellent at giving and following step-by-step directions.,Logical Intelligence - 56dfcf85ef8cc338730548ee,,,,,
Fixed,"When a new employee joins my organization, I am usually the first one to go and introduce myself to him and get to know him.","When new students arrive in my class, I spontaneously and quickly introduce myself to them and get to know them.",Interpersonal Intelligence - 56dfcf85ef8cc338730548ed,,,,,
Fixed,"I enjoy driving with speed when I travel by car, motorcycle, or bicycle.","I enjoy driving with speed when I travel by car, motorcycle, or bicycle.",Adventurous Nature - 56dfcf85ef8cc338730548fc,,,,,
Fixed,"When I'm with others, I tend to ask a lot of questions about them and their lives.","When I'm with others, I tend to ask a lot of questions about them and their lives.",Interpersonal Intelligence - 56dfcf85ef8cc338730548ed,,,,,
Fixed,"When I see that someone is not well, I tend to offer solutions to help them get better.","When I see that someone is not well, I tend to offer solutions to help them get better.",Healing Nature - 56dfcf85ef8cc338730548f7,,,,,
Fixed,I am able to sense when someone is not feeling well.,I am able to sense when someone is not feeling well.,Healing Nature - 56dfcf85ef8cc338730548f7,,,,,
Fixed,"If I had to climb a ladder (e.g., to change a lightbulb), I would do it easily and without hesitation.","If I had to climb a ladder (e.g., to change a lightbulb), I would do it easily and without hesitation.",Bodily Gross Intelligence - 56dfcf85ef8cc338730548fe,,,,,
Fixed,"If I saw someone trying to go swimming in an area that was marked as dangerous, I would attempt to stop or discourage them.","If I saw someone trying to go swimming in an area that was marked as dangerous, I would attempt to stop or discourage them.",Protective Nature - 56dfcf85ef8cc338730548f4,,,,,
Fixed,"When I see people getting bored, I tend to do something for fun to amuse them.","When I see people getting bored, I tend to do something for fun to amuse them.",Entertaining Nature - 56dfcf85ef8cc338730548f9,,,,,
Fixed,"Although many people find most trees to be alike, I am able to spot many differences between them.","Although many people find most trees to be alike, I am able to spot many differences between them.",Naturalistic Intelligence - 56dfcf85ef8cc338730548f3,,,,,
Fixed,I like the idea of having a pet.,I like the idea of having a pet.,Naturalistic Intelligence - 56dfcf85ef8cc338730548f3,,,,,
Fixed,I love reading articles or watching movies about the latest developments on wellbeing and the progress of medicine.,I love reading articles or watching movies about the latest developments on wellbeing and the progress of medicine.,Healing Nature - 56dfcf85ef8cc338730548f7,,,,,
Fixed,"If I read a quotation or proverb that talks about life, I try to understand it and see how it applies to my own life.","When I read a quote or saying about life, I like to see how it applies to my own life.",Intrapersonal Intelligence - 56dfcf85ef8cc338730548f2,,,,,
Fixed,"When I take a trip with friends, I easily find ways to manage limited budgets, spend the least amount possible, and maximize our ability to have a great time.","When I take a trip with friends, I easily find ways to manage limited budgets, spend the least amount possible, and maximize our ability to have a great time.",Entrepreneurial Nature - 56dfcf85ef8cc338730548fb,,,,,
Fixed,"When I'm given a task to perform, I do quality work in a timely manner.","When I have a responsibility to perform, I do my work in a timely manner.",Administrative Nature - 56dfcf85ef8cc338730548f6,,,,,
Fixed,"When I'm part of a project, I naturally take initiative in organizing tasks and making sure that the job is done.","When a teacher gives us a group project, I naturally take initiative in organizing tasks and making sure the job is done right.",Administrative Nature - 56dfcf85ef8cc338730548f6,,,,,
Fixed,Planning objectives and doing what it takes to implement them is something I do easily.,"To get ready for an exam, I make a study plan and organize my time effectively.",Administrative Nature - 56dfcf85ef8cc338730548f6,,,,,
Fixed,I use task lists and/or create reminders to make sure I do everything I have to do.,I use task lists and/or create reminders to make sure I do everything I have to do.,Administrative Nature - 56dfcf85ef8cc338730548f6,,,,,
Fixed,I easily make others laugh or smile.,I easily make others laugh or smile.,Entertaining Nature - 56dfcf85ef8cc338730548f9,,,,,
Fixed,"When I talk with others, I'm always able to express my thoughts and feelings in specific terms.","When I talk with others, I'm always able to express my thoughts and feelings in specific terms.",Linguistic Intelligence - 56dfcf85ef8cc338730548ef,,,,,
Fixed,"When looking at paintings and photos, I always notice details that others do not see.","When looking at paintings and photos, I always notice details that others do not see.",Visual Graphic Intelligence - 56dfcf85ef8cc338730548f1,,,,,
Fixed,I like to scribble (or draw pictures) when I listen to others because it helps me to focus on what they say.,I like to scribble (or draw pictures) when I listen to others because it helps me to focus on what they say.,Visual Graphic Intelligence - 56dfcf85ef8cc338730548f1,,,,,
Fixed,"When I want to convey my ideas, I like to use drawings, symbols, graphs, or images.","When I want to convey my ideas, I like to use drawings, symbols, graphs, or images.",Visual Graphic Intelligence - 56dfcf85ef8cc338730548f1,,,,,
Fixed,"When I hear a song, I can tap out the beat with precision.","When I hear a song, I can tap out the beat with precision.",Musical Intelligence - 56dfcf85ef8cc338730548f0,,,,,
Fixed,I often have music playing in my head.,I often have music playing in my head.,Musical Intelligence - 56dfcf85ef8cc338730548f0,,,,,
Fixed,"If I hear a melody once, I can remember it and reproduce it accurately.","If I hear a melody once, I can remember it and reproduce it accurately.",Musical Intelligence - 56dfcf85ef8cc338730548f0,,,,,
Fixed,"When I listen to music, I often analyze how the song was composed or arranged.","When I listen to music, I often analyze how the song was composed or arranged.",Musical Intelligence - 56dfcf85ef8cc338730548f0,,,,,
Fixed,"If I travel to a new location, I can easily remember how to get there again.","If I travel to a new location, I can easily remember how to get there again.",Visual Spatial Intelligence - 56dfcf85ef8cc338730548fd,,,,,
Fixed,"When I have to prepare a meal, I like to innovate and invent my own recipe rather than follow an existing one.","If a teacher asked me to relay instructions to other students, I would do it in an original way, in my own way, without altering its information.",Creative Nature - 56dfcf85ef8cc338730548f8,,,,,
Fixed,"In sports activities, I am usually among the best players.","In sports activities, I am usually among the best players.",Bodily Gross Intelligence - 56dfcf85ef8cc338730548fe,,,,,
Fixed,"If I saw my taxi driver not wearing a seatbelt, I would suggest he or she put it on.","If I saw my taxi driver not wearing a seatbelt, I would suggest he or she put it on.",Protective Nature - 56dfcf85ef8cc338730548f4,,,,,
Fixed,"If someone were making fun of one of my friends, I would do something to stop them at once.","If someone were making fun of one of my friends, I would do something to stop them at once.",Protective Nature - 56dfcf85ef8cc338730548f4,,,,,
Fixed,"If I saw very young children playing in the street unattended, I would take the initiative to look after them.","If I saw very young children playing in the street unattended, I would take the initiative to look after them.",Protective Nature - 56dfcf85ef8cc338730548f4,,,,,
Fixed,"If there are knots in a string, a ball of yarn, or cables, I take pleasure in undoing them.","If there are knots in a string, a ball of yarn, or cables, I take pleasure in undoing them.",Bodily Fine Intelligence - 56dfcf85ef8cc338730548ec,,,,,
Fixed,"If a visually impaired person joined my company, I would offer my help to accompany him or her in getting around.","If a visually impaired person were in my class, I would offer to accompany him or her in getting around.",Providing Nature - 56dfcf85ef8cc338730548fa,,,,,
Fixed,I have a large circle of acquaintances and I easily make new friends.,I have a large circle of acquaintances and I easily make new friends.,Interpersonal Intelligence - 56dfcf85ef8cc338730548ed,,,,,
Fixed,"When I encounter a word I do not understand, I look up its definition and try to reuse it in conversation or when I write.","When I encounter a word I do not understand, I look up its definition and try to reuse it in conversation or when I write.",Linguistic Intelligence - 56dfcf85ef8cc338730548ef,,,,,
Fixed,"If I had to draw a diagram of my home from memory, I could easily do so with a high degree of accuracy.","If I had to draw a diagram of my home from memory, I could easily do so with a high degree of accuracy.",Visual Spatial Intelligence - 56dfcf85ef8cc338730548fd,,,,,
Fixed,I like watching documentaries about animals and nature.,I like watching documentaries about animals and nature.,Naturalistic Intelligence - 56dfcf85ef8cc338730548f3,,,,,
Fixed,I like to push myself to my limits because it gives me a thrill.,I like to push myself to my limits because it gives me a thrill.,Adventurous Nature - 56dfcf85ef8cc338730548fc,,,,,
Fixed,"When a friend is sick, I am sincerely interested in the details of his or her health (symptoms, pain, problems, etc.).","When a friend is sick, I am sincerely interested in the details of his or her health (symptoms, pain, problems, etc.).",Healing Nature - 56dfcf85ef8cc338730548f7,,,,,
Fixed,I like to analyze people or characters in books or movies and why they think and behave as they do.,I like to analyze people or characters in books or movies and why they think and behave as they do.,Intrapersonal Intelligence - 56dfcf85ef8cc338730548f2,,,,,
Fixed,"In a bookstore, I like to spend more time in the section of personal development, philosophy, psychology, etc.","In a bookstore, I like to spend more time in the section of personal development, philosophy, psychology, etc.",Intrapersonal Intelligence - 56dfcf85ef8cc338730548f2,,,,,
Fixed,"When I cannot solve a problem, I like to walk around to help me think.","When I cannot solve a problem, I like to walk around to help me think.",Bodily Gross Intelligence - 56dfcf85ef8cc338730548fe,,,,,
Fixed,"When using a computer, I type quickly and accurately.","When using a computer, I type quickly and accurately.",Bodily Fine Intelligence - 56dfcf85ef8cc338730548ec,,,,,
Fixed,"I can easily draw a straight line, even without a ruler.","I can easily draw a straight line, even without a ruler.",Bodily Fine Intelligence - 56dfcf85ef8cc338730548ec,,,,,
Fixed,I find it easy to explain a complex topic and get others to understand it.,I am able to explain difficult topics and make them clear even to the weakest students.,Educative Nature - 56dfcf85ef8cc338730548f5,,,,,
Fixed,"I can quickly read and interpret tables, charts or graphics.","I can quickly read and interpret tables, charts or graphics. ",Logical Intelligence - 56dfcf85ef8cc338730548ee,,,,,
Fixed,I can take something ordinary and express it in an exaggerated way--exciting or dramatic.,I can take something ordinary and express it in an exaggerated way--exciting or dramatic.,Entertaining Nature - 56dfcf85ef8cc338730548f9,,,,,
Fixed,I have always had an ability for learning languages and would find it easy to learn a new one if I wanted to.,I easily learn foreign languages.,Linguistic Intelligence - 56dfcf85ef8cc338730548ef,,,,,
Fixed,"I'm good at crossword puzzles and other word games (anagrams, word search, etc.).","I'm good at crossword puzzles and other word games (anagrams, word search, etc.).",Linguistic Intelligence - 56dfcf85ef8cc338730548ef,,,,,
Fixed,"To celebrate the birthday of a family member or friend in an original way, I could come up with many ideas.","To celebrate the birthday of a family member or friend in an original way, I could come up with many ideas.",Creative Nature - 56dfcf85ef8cc338730548f8,,,,,
Fixed,"If I were invited to try a sport such as skydiving or bungee jumping, I would do so without hesitation.","If I were invited to try a sport such as skydiving or bungee jumping, I would do so without hesitation.",Adventurous Nature - 56dfcf85ef8cc338730548fc,,,,,
Fixed,"When something upsets me or makes me angry, I take the time to analyze my thoughts and feelings.","When something upsets me or makes me angry, I take the time to analyze my thoughts and feelings.",Intrapersonal Intelligence - 56dfcf85ef8cc338730548f2,,,,,
Fixed,"If I participated in an exercise class, I could easily perform the movements taught by the instructor.","If I participated in an exercise class, I could easily perform the movements taught by the instructor.",Bodily Gross Intelligence - 56dfcf85ef8cc338730548fe,,,,,
Fixed,"I'm good with my hands for tasks such as cutting with scissors, tying shoelaces, using a knife or folding clothes.","I'm good with my hands for tasks such as cutting with scissors, tying shoelaces, using a knife or folding clothes.",Bodily Fine Intelligence - 56dfcf85ef8cc338730548ec,,,,,
Fixed,"As soon as I learn something new, I am eager to explain it to someone else.","As soon as I learn something new, I am eager to explain it to someone else.",Educative Nature - 56dfcf85ef8cc338730548f5,,,,,
Fixed,I like to read about successful companies and how their leaders achieved success.,I like to read about successful companies and how their leaders achieved success.,Entrepreneurial Nature - 56dfcf85ef8cc338730548fb,,,,,
Fixed,"When I have to explain something to someone, I find good examples to illustrate the idea clearly.","When I have to explain something to someone, I find good examples to illustrate the idea clearly.",Educative Nature - 56dfcf85ef8cc338730548f5,,,,,
Fixed,"If I had to prepare a meal for someone, I would make sure to find what he or she likes to eat and would prepare it with pleasure.","If I had to prepare a meal for someone, I would make sure to find what he or she likes to eat and would prepare it with pleasure.",Providing Nature - 56dfcf85ef8cc338730548fa,,,,,
Fixed,"When food comes to the table, I make sure that everyone else is served before serving myself.","When food comes to the table, I make sure that everyone else is served before serving myself.",Providing Nature - 56dfcf85ef8cc338730548fa,,,,,
Fixed,"If I had some extra money, I would invest it in shares rather than putting it in a safer, lower-paying method of investment.","Given a chance, I would make my own chemistry experiments, just to see what would happen if I mixed different things.",Adventurous Nature - 56dfcf85ef8cc338730548fc,,,,,
Fixed,I often find original and unusual ideas to solve a problem.,"If I were given an object such as a brick, I could find many ways to use it for different purposes.",Creative Nature - 56dfcf85ef8cc338730548f8,,,,,
Fixed,"I can always tell which way is North, South, East or West.",I'm good at geometry.,Visual Spatial Intelligence - 56dfcf85ef8cc338730548fd,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,